Country,GDP_Per_Capita_Growth_2015,GDP_Per_Capita_Growth_2016,GDP_Per_Capita_Growth_2017,GDP_Per_Capita_Growth_2018,GDP_Per_Capita_Growth_2019
High income,1.90689061325931,1.24091906190502,1.85908548086387,1.87081876954109,1.35571868408213
"Hong Kong SAR, China",1.51997817135852,1.53864657056957,3.01731597828572,2.02792769150992,-2.41839561224405
Honduras,2.04738682049835,2.1235809908339,3.08361521753868,2.1281635729176,0.982661679905576
Heavily indebted poor countries (HIPC),1.89508529155218,1.55845018346761,2.13823355362071,1.51948179864148,1.62210998307135
Croatia,3.37409280662597,4.25801634230318,4.6631756701545,3.82352734471229,4.05697922398092
Haiti,1.15736312864287,0.455879683871615,1.18118263013172,0.38072842933046,-2.90574712035101
Hungary,3.9502169101093,2.49398511598645,4.54613560054244,5.4931633015081,4.60139046418905
IBRD only,3.41983654838587,3.68127600798336,4.22837832474367,3.94558516207857,3.14095870162885
IDA & IBRD total,3.01887461992816,3.23896957976292,3.80564778877996,3.55590254094534,2.76254064591743
IDA total,1.03550267313103,0.857646065227556,1.76027583874583,2.14258722395691,1.6717620080524
IDA blend,1.44317004057008,-0.623647227847655,0.540288376675548,1.32457221686084,0.0709031150363018
Indonesia,3.55506249544388,3.75883733214852,3.84119726442658,3.98782486089075,3.87144414151346
IDA only,0.588583900598906,2.32123225176673,2.93925423797259,2.91969605312931,3.18129559501132
Isle of Man,-0.0794110139410833,6.87013528451821,4.29564904515934,1.65050263205406,-0.356701748502758
India,6.79675906426532,7.08222758310927,5.66578114880545,5.43307745098798,2.99266440573042
Not classified,,,,,
Ireland,23.9990932049163,0.896822101077149,7.76044197686218,7.68774579482279,3.49190099133891
"Iran, Islamic Rep.",-2.61107051257869,11.8687153565987,2.32775091617894,-7.31991052661751,-8.03628627377611
Iraq,1.30694378113189,10.5600974554293,-4.28298176305985,0.28170531508249,3.59562006701191
Iceland,3.35414533328364,4.83829921427557,1.7794101347671,2.12030149363669,0.206935274875605
Israel,0.273166454342856,2.43486113607949,2.37294959239584,1.99923149357343,1.81135890882076
Italy,0.875477401786128,1.46569044434084,1.82033385192226,1.11781661979235,1.57473771632701
Jamaica,0.366894819691765,0.844390413700609,0.492076589718863,1.40370907994962,0.432912116838111
Jordan,-1.34990617092249,-1.07722100686,-0.328485920725498,0.0981917027262398,0.579046462795702
Japan,1.66846511711745,0.870046944792136,1.84270905806171,0.762860909889355,0.480088200168893
Kazakhstan,-0.268267117815142,-0.327514633495582,2.69343213409591,2.74053637969105,3.16101154004124
Kenya,2.38448726521699,1.7209860090004,1.39771664690468,3.22142919254497,2.62208684536643
Kyrgyz Republic,1.75886440985292,2.23180526571734,2.73409189148251,1.7132091060235,2.43933520707868
Cambodia,5.26408933922833,5.27260897558848,5.37202162418909,5.87938583851239,5.51680828875165
Kiribati,8.87211257724154,3.64094395826189,-0.545552671301749,2.26287969511236,2.36588746035582
St. Kitts and Nevis,0.18919158121939,12.4614166184795,0.110808947167712,1.91268111292277,4.01450533666139
"Korea, Rep.",2.26842940068582,2.5391447288435,2.87019696151147,2.41941019228105,2.04137465106872
Kuwait,-3.20057857283761,-0.228710261590166,-7.04349989138754,-0.741247102578228,-1.23785408626549
Latin America & Caribbean (excluding high income),-0.607677970448222,-1.31966271683839,0.936855812265364,0.560571386154777,-0.250912943307696
Lao PDR,5.65656566444976,5.38622283884081,5.24475134510458,4.61595537084567,3.86974764056176
Lebanon,-3.60057202482315,-1.16541775606076,-0.771117557655217,-2.27589099867723,-7.1071537327247
Liberia,-2.53856279124182,-4.01370872665771,-0.060039735974641,-1.29322546515751,-4.80612732385613
Libya,-9.6611400412838,-3.9011207222389,24.9760381703571,13.4460867409219,1.03987886556195
St. Lucia,-1.81422500084082,3.12989136646082,2.97153173683404,2.39733075575063,-0.558717236775081
Latin America & Caribbean,-0.473668861043222,-1.13649562069644,0.900998158085514,0.686442098754796,-0.129842236573225
Least developed countries: UN classification,0.0510842573643089,1.41748350653883,2.05242977004951,2.10312829935218,2.61430720730718
Low income,-3.00122118356632,-0.37430325473062,0.504036110622636,0.888782719208379,1.72104503823127
Liechtenstein,,,,,
Sri Lanka,4.04623956631545,3.33842975590277,2.41409866202615,2.1949597721197,1.63141197879588
Lower middle income,3.50166010994113,4.40769645768025,3.68153887761629,3.14137286961692,2.13364551260436
Low & middle income,3.04162003575127,3.27951523027204,3.83124272204994,3.54281967394898,2.75602607498135
Lesotho,2.3480698139272,2.78812909073667,-3.90564187261468,-2.00999694354861,-1.17546799781275
Late-demographic dividend,3.995126102813,3.77762601031573,4.61279723757546,4.81957629222059,4.22624742152615
Lithuania,2.98891297061452,3.82984126408542,5.75104655735379,4.99035385554106,4.85094975391134
Luxembourg,-0.115476305532894,2.73979180152419,-1.11611296239622,0.0557319419873323,1.27627264670255
Latvia,4.7389479157399,3.30741996501406,4.2327345755706,4.80286694592556,3.19932008209607
"Macao SAR, China",-23.0634149570273,-2.41812753264641,8.26007312117713,4.93835210738143,-3.85348568225642
St. Martin (French part),,,,,
Morocco,3.10311140049744,-0.286660319841573,2.90184502007737,1.84461699689066,1.3403970411036
Monaco,3.74320229702543,2.50861203477268,-4.31031468353824,5.16191339520333,6.12377017891215
Moldova,0.45004942257944,5.61462069937306,6.4771604801543,6.10943256779568,5.36569849707125
Madagascar,0.390866453574574,1.23486640431807,1.185080524299,0.476010182448789,1.67412016147502
Maldives,-1.6151832384764,1.73348691527349,2.69752962995781,4.07540942819782,3.81320120539183
Middle East & North Africa,0.493519688660868,2.70410932848635,-0.110669726332731,-0.259058785017615,-0.552339316845334
Mexico,2.01903688371814,1.40302067337798,0.931456541585035,1.05031421707116,-1.26011567224396
Marshall Islands,1.15223297359046,0.823567721794149,2.66363108243138,2.93818083190456,5.95717198589657
Middle income,3.25405363262267,3.45641319082183,4.00668543488084,3.71553607121903,2.91212407713797
North Macedonia,3.71765660257569,2.73585322254593,0.98373642544189,2.79561511891441,3.88655214622943
Mali,3.09991301016213,2.74912773755298,2.19402842275547,1.64255983514556,1.66395525277679
Malta,7.02341289238701,1.73573001006562,5.19857739445129,1.56979969325337,1.47093023044587
Myanmar,2.49328468190495,9.74847882390068,5.08183410223336,5.759520090802,6.08461268337797
Middle East & North Africa (excluding high income),-1.09511107042889,4.89331713217614,1.09820356331637,-1.07334302939418,-1.12198311247397
Montenegro,3.33238457780671,2.92545800874741,4.70468752737763,5.10254439807166,4.09623694324546
Mongolia,0.388463385380476,-0.433679901746515,3.68853378857119,5.82715120700583,3.80294008233133
Northern Mariana Islands,2.49751065125838,28.2738517644813,22.3735947242237,-19.8213790200896,-11.6457911935762
Mozambique,3.74042205271795,0.884713236588894,0.775346479703657,0.473340200048128,-0.616865368058384
Mauritania,2.37076098298319,-1.59018303722354,3.31636794202008,1.66083209679408,2.89992206394601
Mauritius,3.41602394691346,3.76659648343872,3.72056764157287,3.70309459271954,2.97917002128392
Malawi,0.0021044705434007,-0.255665063338284,1.26357063864582,1.67003366205537,2.69981228160685
