Country,GDP_Per_Capita_2015,GDP_Per_Capita_2016,GDP_Per_Capita_2017,GDP_Per_Capita_2018,GDP_Per_Capita_2019,GDP_Per_Capita_Growth_2015,GDP_Per_Capita_Growth_2016,GDP_Per_Capita_Growth_2017,GDP_Per_Capita_Growth_2018,GDP_Per_Capita_Growth_2019
Heavily indebted poor countries (HIPC),919.247264277593,905.343771056251,948.738998303874,984.860523811389,985.186283834948,1.89508529155218,1.55845018346761,2.13823355362071,1.51948179864148,1.62210998307135
Croatia,11933.3773788281,12527.7398569824,13629.289592247,15227.5600968096,15311.766903695,3.37409280662597,4.25801634230318,4.6631756701545,3.82352734471229,4.05697922398092
Haiti,1386.85419078846,1290.38050812318,1369.06373395137,1479.3458268885,1312.77063606676,1.15736312864287,0.455879683871615,1.18118263013172,0.38072842933046,-2.90574712035101
Hungary,12720.7120220668,13107.3779137744,14623.6966492311,16427.3727611478,16735.6597794761,3.9502169101093,2.49398511598645,4.54613560054244,5.4931633015081,4.60139046418905
IBRD only,5534.67856624041,5526.65388488584,6042.98149259716,6366.56267284832,6461.3345446003,3.41983654838587,3.68127600798336,4.22837832474367,3.94558516207857,3.14095870162885
IDA & IBRD total,4494.16437544161,4461.24653004746,4840.46533154969,5080.87574857649,5144.34533756254,3.01887461992816,3.23896957976292,3.80564778877996,3.55590254094534,2.76254064591743
IDA total,1320.36709104279,1253.71443621009,1268.08995349199,1313.77412004284,1340.36345942875,1.03550267313103,0.857646065227556,1.76027583874583,2.14258722395691,1.6717620080524
IDA blend,1972.07708686918,1795.21245064459,1723.16488620871,1759.49636468312,1777.85106883714,1.44317004057008,-0.623647227847655,0.540288376675548,1.32457221686084,0.0709031150363018
Indonesia,3331.69511469189,3562.81633352183,3837.57802362633,3893.85957814877,4135.20153132694,3.55506249544388,3.75883733214852,3.84119726442658,3.98782486089075,3.87144414151346
IDA only,990.845739409278,979.687544781209,1037.68958680347,1088.07247384513,1118.85395653545,0.588583900598906,2.32123225176673,2.93925423797259,2.91969605312931,3.18129559501132
Isle of Man,85126.9704694293,82197.12677026,83477.834285154,89112.6677158571,86481.5525905339,-0.0794110139410833,6.87013528451821,4.29564904515934,1.65050263205406,-0.356701748502758
India,1605.60544457087,1732.55424231659,1980.66701982802,1996.91508739789,2100.75146060805,6.79675906426532,7.08222758310927,5.66578114880545,5.43307745098798,2.99266440573042
Not classified,,,,,,,,,,
Ireland,61987.5509982224,62818.9663649805,69601.683881773,79068.9746116787,80886.6157387104,23.9990932049163,0.896822101077149,7.76044197686218,7.68774579482279,3.49190099133891
"Iran, Islamic Rep.",4904.32731485169,5253.42656033356,5520.31478213998,3598.48345396129,3114.62275284063,-2.61107051257869,11.8687153565987,2.32775091617894,-7.31991052661751,-8.03628627377611
Iraq,4688.31801743466,4550.65863784829,4985.45287942996,5915.85085369644,5980.6269179797,1.30694378113189,10.5600974554293,-4.28298176305985,0.28170531508249,3.59562006701191
Iceland,52951.6815110898,61987.9263620283,72010.1490316258,74469.8040591559,68941.4622272394,3.35414533328364,4.83829921427557,1.7794101347671,2.12030149363669,0.206935274875605
Israel,35808.4364289727,37330.261796968,40774.1296073227,42063.4531274811,43951.2477305677,0.273166454342856,2.43486113607949,2.37294959239584,1.99923149357343,1.81135890882076
Italy,30230.2263021296,30939.7142462298,32326.6742113994,34605.2627252058,33641.6337513622,0.875477401786128,1.46569044434084,1.82033385192226,1.11781661979235,1.57473771632701
Jamaica,4907.927415189,4843.74989999401,5070.0995030616,5359.99378939638,5369.4983713849,0.366894819691765,0.844390413700609,0.492076589718863,1.40370907994962,0.432912116838111
Jordan,4164.10876894014,4175.35660192301,4231.51827999134,4308.1510738997,4405.48710929391,-1.34990617092249,-1.07722100686,-0.328485920725498,0.0981917027262398,0.579046462795702
Japan,34960.6393843385,39400.7393559257,38891.0862716856,39808.1685608793,40777.6086970512,1.66846511711745,0.870046944792136,1.84270905806171,0.762860909889355,0.480088200168893
Kazakhstan,10510.7718884149,7714.84184376024,9247.58133129626,9812.62637077396,9812.5958082732,-0.268267117815142,-0.327514633495582,2.69343213409591,2.74053637969105,3.16101154004124
Kenya,1464.55400904329,1525.23519224992,1633.49121639293,1794.0911754468,1912.64786680344,2.38448726521699,1.7209860090004,1.39771664690468,3.22142919254497,2.62208684536643
Kyrgyz Republic,1121.08283510739,1120.66651300848,1242.76964282023,1308.14016549619,1374.03210467421,1.75886440985292,2.23180526571734,2.73409189148251,1.7132091060235,2.43933520707868
Cambodia,1162.90499489402,1269.59149895246,1385.26006616114,1512.12698889384,1643.12138876539,5.26408933922833,5.27260897558848,5.37202162418909,5.87938583851239,5.51680828875165
Kiribati,1542.61646547846,1584.73801506175,1640.57120522974,1727.84500131644,1601.86186855285,8.87211257724154,3.64094395826189,-0.545552671301749,2.26287969511236,2.36588746035582
St. Kitts and Nevis,18028.9734308952,19541.1278329793,20384.7478810966,20567.4991135916,22046.6899120796,0.18919158121939,12.4614166184795,0.110808947167712,1.91268111292277,4.01450533666139
"Korea, Rep.",28732.2310762599,29288.8704389833,31616.8434004683,33422.9442100836,31936.7963534728,2.26842940068582,2.5391447288435,2.87019696151147,2.41941019228105,2.04137465106872
Kuwait,29869.552753237,27653.1576200281,29759.4674745278,33399.0604365842,32373.2511220507,-3.20057857283761,-0.228710261590166,-7.04349989138754,-0.741247102578228,-1.23785408626549
Latin America & Caribbean (excluding high income),8240.81450113211,7930.90191487956,8744.99517157635,8408.17469813318,8226.23632426779,-0.607677970448222,-1.31966271683839,0.936855812265364,0.560571386154777,-0.250912943307696
Lao PDR,2140.04432280044,2324.40091700425,2455.21155944893,2569.09389217251,2635.80001503359,5.65656566444976,5.38622283884081,5.24475134510458,4.61595537084567,3.86974764056176
Lebanon,7663.92023216349,7653.73362998424,7819.60467019649,8058.44433692324,7578.17236808171,-3.60057202482315,-1.16541775606076,-0.771117557655217,-2.27589099867723,-7.1071537327247
Liberia,721.581050523128,740.914906030102,721.085044013216,710.265998419581,672.340499220841,-2.53856279124182,-4.01370872665771,-0.060039735974641,-1.29322546515751,-4.80612732385613
Libya,4337.91913919348,4035.19680169994,5756.69932474775,7877.12460954542,7685.94813248318,-9.6611400412838,-3.9011207222389,24.9760381703571,13.4460867409219,1.03987886556195
St. Lucia,10093.6180163617,10362.3516588778,11034.6298496557,11353.7152084186,11591.0804756999,-1.81422500084082,3.12989136646082,2.97153173683404,2.39733075575063,-0.558717236775081
Latin America & Caribbean,8630.85569020065,8352.05622272614,9188.21002991857,8905.58133741893,8705.11709848032,-0.473668861043222,-1.13649562069644,0.900998158085514,0.686442098754796,-0.129842236573225
Least developed countries: UN classification,1005.36471298895,971.75050900574,1039.59740217397,1053.01057591191,1071.58349823785,0.0510842573643089,1.41748350653883,2.05242977004951,2.10312829935218,2.61430720730718
Low income,715.933740090469,646.104636089322,665.30245405068,674.350603056451,692.175281184889,-3.00122118356632,-0.37430325473062,0.504036110622636,0.888782719208379,1.72104503823127
Liechtenstein,167313.266280449,165642.386275555,171253.964253797,180366.715197575,175813.875592058,,,,,
Sri Lanka,3843.78067184442,3886.29150165239,4077.04384087488,4059.20822984947,3852.26560287415,4.04623956631545,3.33842975590277,2.41409866202615,2.1949597721197,1.63141197879588
Lower middle income,2081.01853542039,2139.53953275038,2268.42416744568,2267.5468483045,2354.57872458511,3.50166010994113,4.40769645768025,3.68153887761629,3.14137286961692,2.13364551260436
